id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7032765,Budget Room in Amsterdam,24946899,Pouya,,Bijlmer-Oost,52.31572525215219,4.985908235499816,Private room,36,1,26,2016-04-26,2.10,1,38
11684742,Studio in Amsterdam,24651625,Don,,Bijlmer-Oost,52.318924640399615,4.978956258058247,Entire home/apt,50,1,19,2016-06-24,5.33,1,280
13779421,Short stay room in Amsterdam (in student house),80899279,Ruben,,Bijlmer-Oost,52.32643008463671,4.982602234999557,Private room,27,1,0,,,1,364
12272272,Lovely room near metro station,12308050,Dan&Oxana,,Bijlmer-Oost,52.32333428485076,4.977622366092019,Private room,65,3,7,2016-06-10,2.69,2,355
7722639,Two cozy rooms for max. 4 persons,31270920,Mrs.,,Bijlmer-Oost,52.3179152282139,4.96662438256415,Private room,77,1,10,2016-06-09,1.02,1,265
7880299,Spacious apartment next to metro,41519829,Marly,,Bijlmer-Oost,52.32344011082727,4.972190539578077,Entire home/apt,75,5,4,2015-11-16,0.46,1,0
13745770,Luxury apartment in Amsterdam,23817576,Leandro,,Bijlmer-Oost,52.31742485343347,4.9796067717734624,Entire home/apt,99,1,0,,,3,364
3522143,Quiet summer apartment,17736293,Eefje,,Bijlmer-Oost,52.324584742919754,4.978723905390833,Entire home/apt,50,3,3,2015-08-04,0.26,1,0
13262666,Laid back town house with garden and terrace,9015391,Elle,,Bijlmer-Oost,52.31946953204911,4.96476080398304,Entire home/apt,89,4,0,,,1,11
10860856,Nice room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31781329483963,4.98580325507547,Private room,45,3,22,2016-06-26,4.55,3,272
3651182,Beautiful complete apartment,17092248,Frank,,Bijlmer-Oost,52.32177089024753,4.980814206598688,Entire home/apt,100,2,40,2016-06-28,1.92,1,347
13775357,Luxury private room in Amsterdam (2),23817576,Leandro,,Bijlmer-Oost,52.31638334963021,4.979504637406429,Private room,50,1,0,,,3,363
12333473,Modern Clean appartement,66564987,Ari,,Bijlmer-Oost,52.3178593955657,4.979526404699839,Entire home/apt,98,2,10,2016-06-26,3.80,1,325
9925265,Appartement in Amsterdam South East,51019491,Vladimir,,Bijlmer-Oost,52.320836316836186,4.976739857187362,Entire home/apt,60,2,0,,,1,1
11650989,Cozy 2-pers private bedroom.,32981372,Cherana & Giovanni,,Bijlmer-Oost,52.31524819385754,4.976901010962061,Private room,45,1,12,2016-06-08,3.46,1,315
4402514,"12,5m2 privet room in a nice flat",22670971,Ara,,Bijlmer-Oost,52.32075380860257,4.975741186930377,Private room,30,4,18,2016-06-18,0.90,1,262
13685155,"Modern, light, spectacular view. Free Parking",79699705,Majo,,Bijlmer-Oost,52.32063557270274,4.96554726611147,Entire home/apt,140,2,0,,,1,79
13706439,Cozy Amazing room with great view,74966732,Ceejay,,Bijlmer-Oost,52.32358429309952,4.969166409127385,Private room,55,1,0,,,2,147
13354641,XL ROOM for 3/4 persons - FlexRoom,75726935,Jason & Son,,Bijlmer-Oost,52.31708706894267,4.97196883731886,Private room,75,4,0,,,1,90
11617912,Cozy appartement in Amsterdam,60767516,Nino,,Bijlmer-Oost,52.314077035377444,4.983944620866238,Entire home/apt,80,1,21,2016-06-26,5.21,1,294
12395521,STUDIO 1 minut from Subway/Market,21951693,Gabii,,Bijlmer-Oost,52.317192569145554,4.977787542200826,Entire home/apt,50,5,0,,,1,13
9817243,Couch in living room,27280608,Petra,,Bijlmer-Oost,52.322131996253056,4.977425952077016,Shared room,45,1,9,2016-06-27,2.67,3,365
13784548,Appartment with beautiful view,40950676,Anne,,Bijlmer-Oost,52.32137917167616,4.978442775775938,Entire home/apt,93,7,0,,,1,28
13288857,Bed Breakfast Bikes(15 mins from city center),74966732,Ceejay,,Bijlmer-Oost,52.32216128044978,4.971087356917402,Private room,45,1,5,2016-06-26,5,2,21
13054514,Comfortable light 90 sq mtr apartment with view,72273355,Marije,,Bijlmer-Oost,52.321494807579306,4.978443345331418,Entire home/apt,115,3,1,2016-06-27,1,1,48
7046849,Lovely room in South East Amsterdam,36953379,Mark,,Bijlmer-Oost,52.32231416120611,4.9615935128732325,Private room,45,1,7,2015-09-09,0.57,1,141
11469902,Spacious & Furnished appartment,35360630,Nicky,,Bijlmer-Oost,52.32022149637086,4.983093684459531,Entire home/apt,75,2,13,2016-07-03,3.42,1,69
7706472,Spacious With A Beautiful View,38310525,Dearing,,Bijlmer-Oost,52.3216185549668,4.9782714052738815,Entire home/apt,110,2,42,2016-06-29,3.85,1,259
9115414,staying in green surroundings,47499392,Ingrid,,Bijlmer-Oost,52.32093767789479,4.987733661319591,Private room,30,2,1,2016-01-01,0.16,1,0
12206912,Spacious apartment & beautiful view,19015200,Keston,,Bijlmer-Oost,52.31780455911641,4.979334761978678,Entire home/apt,99,2,16,2016-07-01,5.65,1,46
13062045,Spacious double room in Amsterdam,27481330,Abby,,Bijlmer-Oost,52.315537618774215,4.986962203241578,Private room,70,1,1,2016-05-26,0.75,2,0
13635628,comfortabele kamer te huur eventueel 1 kind erbij,79075883,Silvia,,Bijlmer-Oost,52.3221141271703,4.968947972708498,Private room,50,14,0,,,1,362
5998167,Sunny 2 room apartment,31140233,Jan,,Bijlmer-Oost,52.32338893543207,4.974380320636552,Entire home/apt,65,4,27,2016-06-23,1.84,1,322
11218361,Apartment in Amsterdam-North,58446174,(EMAIL HIDDEN),,Noord-Oost,52.39644425026537,4.937716754511974,Entire home/apt,49,6,0,,,1,0
13293783,Light and quiet room in a green neighborhood NORTH,36431663,Jasmijn,,Noord-Oost,52.39703677518472,4.933106953430053,Private room,75,2,0,,,1,0
1358042,"Woonboot in Amsterdam, Free parking",7371529,Siem,,Noord-Oost,52.38281122301121,4.966894741231812,Entire home/apt,60,2,169,2016-06-11,4.84,1,253
653883,countryside house in amsterdam,3289006,Ellen,,Noord-Oost,52.383080870846385,4.977900950233365,Entire home/apt,99,2,53,2016-06-01,1.14,2,113
854060,Romantic Garden House & free bikes ,4459890,Anrik,,Noord-Oost,52.38418717538116,4.962456476608059,Entire home/apt,70,2,21,2016-06-20,0.51,1,291
595898,Romantic houseboat in Amsterdam,2911119,Liesbeth,,Noord-Oost,52.379975654356556,4.970049351264018,Entire home/apt,90,2,39,2016-06-12,0.85,1,276
5766152,Boat house just outside Amsterdam,29915748,Femke,,Noord-Oost,52.37590165819068,4.976176668695283,Entire home/apt,220,5,0,,,1,0
12839282,Unique Eco Tiny House on Wheels with breakfast,14939718,Annabelle,,Noord-Oost,52.39617221167427,5.000099679740846,Entire home/apt,90,2,0,,,1,82
4658790,big apartment with great view,6046237,Wiebe,,Noord-Oost,52.39542266954537,4.939204805167691,Entire home/apt,120,5,0,,,1,364
3637400,Nice & cosy room close to the citycenter,9110671,Ana,,Noord-Oost,52.40266644238365,4.925218320969924,Private room,45,2,62,2016-06-13,5.08,1,261
1375612,Your own apartment on wheels,3040748,Henk,,Noord-Oost,52.395805772608426,4.992438640895119,Entire home/apt,74,2,46,2016-06-19,1.30,9,322
12258399,"Great full house, free parking!",66010425,Ralph,,Noord-Oost,52.40666127314348,4.932477068867378,Entire home/apt,102,2,4,2016-06-06,2.07,1,19
3896355,"Private  parking, 10min from Center",13861116,August,,Noord-Oost,52.39990889715478,4.9299913307223795,Entire home/apt,64,2,50,2016-06-22,2.31,6,171
3327727,Modern Family Home - Eternal Youth!,5800745,Vincent,,Noord-Oost,52.40708816719704,4.9332236523879995,Entire home/apt,125,5,2,2015-07-22,0.09,1,18
7822985,Luxury apartment for 4 persons,29591818,Frans,,Noord-Oost,52.40238962052545,4.942974958767861,Entire home/apt,150,4,0,,,2,0
5897261,Your double apartment on wheels,3040748,Henk,,Noord-Oost,52.41121372991402,4.947321391956235,Entire home/apt,70,2,26,2016-06-05,1.81,9,171
13090950,Modern house with garden,72668087,Ellen,,Noord-Oost,52.400540632108175,4.9465223063857495,Entire home/apt,100,2,1,2016-05-29,0.81,1,21
13721210,Away from the crowds but close to the city centre,53212138,Vladimir,,Noord-Oost,52.40439735872482,4.930698005699911,Entire home/apt,150,3,0,,,1,30
9192196,Blauwepolder Zunderdorp 2,47687781,Greet,,Noord-Oost,52.40939259639596,4.961788397510197,Entire home/apt,65,7,6,2016-06-13,0.99,2,331
7769055,"Mini-country cottage, 15 min. to Amsterdam Centre",337655,Jaap & Kim,,Noord-Oost,52.37934389044851,4.992835191409888,Entire home/apt,100,3,17,2016-05-29,1.61,1,290
2842228,Your own appartment on wheels,3040748,Henk,,Noord-Oost,52.39390746619781,4.990683052314005,Entire home/apt,69,2,40,2016-06-17,1.54,9,338
13776069,Family House Amsterdam Free Parking,14151494,Laura,,Noord-Oost,52.406017602260164,4.930087464309865,Entire home/apt,120,2,0,,,1,82
13697534,Charming spacious apartment,5931215,Claudia,,Noord-Oost,52.399905281291275,4.932259837954117,Entire home/apt,85,2,0,,,1,279
4697911,family home with garden,16626677,Kees,,Noord-Oost,52.3991272984682,4.953999697510392,Entire home/apt,130,5,7,2015-12-30,0.38,1,8
7241009,Family House nearby city centre,2802365,Laurens,,Noord-Oost,52.40774817762915,4.933144005773879,Entire home/apt,181,4,2,2016-05-11,0.32,1,296
3710782,Eco Barge - authentic&adventurous,18933257,Lot,,Noord-Oost,52.38321681317853,4.964143576125548,Entire home/apt,90,3,7,2016-04-24,0.32,1,276
6303583,Family house in child-friendly area,32508365,Myrna & Raymond,,Noord-Oost,52.40700507925355,4.933508070228482,Entire home/apt,160,2,9,2016-06-20,0.78,1,90
3753071,Best of 2 worlds in Amsterdam ! ,14591961,Kris,,Noord-Oost,52.39933085311902,4.932646903429829,Entire home/apt,75,3,10,2016-06-27,0.53,1,120
11647054,Te huur 1 kamer studio,61769776,Ruud,,Noord-Oost,52.40319980976761,4.944405472038638,Entire home/apt,90,1,25,2016-06-28,7.08,2,266
10538029,Cottage in country side Amsterdam,16575399,Harry And Chantel,,Noord-Oost,52.410792647116786,4.961213564267616,Entire home/apt,90,3,15,2016-06-30,4.29,2,293
12585183,"Amsterdam, city villa, free P",68257235,Lex,,Noord-Oost,52.406646029320655,4.928136325823258,Entire home/apt,226,2,1,2016-06-13,1,1,253
6611814,Your own birdsnest on wheels,3040748,Henk,,Noord-Oost,52.41324444611566,4.946152859586055,Entire home/apt,68,2,18,2016-06-16,1.38,9,331
3279250,Farmhouse 1 km from Amsterdam,16575399,Harry And Chantel,,Noord-Oost,52.41048558855645,4.961479907175513,Entire home/apt,200,4,18,2015-10-31,0.74,2,26
12335572,Your own waggon at the cow paradise,3040748,Henk,,Noord-Oost,52.40809582710665,4.995068872861598,Entire home/apt,70,2,3,2016-06-11,1.73,9,171
3539616,kamer in dijkhuis aan  IJsselmeer  ,17818756,Peter,,Noord-Oost,52.37778852843909,4.993286407913424,Private room,80,2,6,2016-03-29,0.26,1,239
839727,"Authentic ship ""Vrouwe Johanna""",4386675,Amsterdam,,Noord-Oost,52.374395868370634,4.979868851110586,Entire home/apt,360,3,4,2015-07-26,0.11,1,354
13630140,COZY holiday apt. located trendy north + garden!,669178,Sammy,,Noord-Oost,52.39294227389612,4.950951554110577,Entire home/apt,79,2,0,,,156,10
13653088,Prachtig appartement Amsterdam Noord,73809023,Demian,,Noord-Oost,52.39391933003092,4.955315780324563,Entire home/apt,85,5,0,,,1,6
2719038,Little House close to Amsterdam,13060291,Aletta,,Noord-Oost,52.39735771428765,5.004451413105496,Entire home/apt,85,1,121,2016-07-01,4.46,1,293
9161106,Blauwepolder  Zunderdorp 1,47687781,Greet,,Noord-Oost,52.41077188917329,4.9611698052058975,Entire home/apt,65,7,0,,,2,352
4482546,Family-friendly freestanding dykehouse Amsterdam,19695482,Rudy & Carol,,Noord-Oost,52.38516199636309,4.957860838331678,Entire home/apt,150,5,7,2016-05-16,0.52,1,25
4969675,Family dike house with great view,21077937,Hanneke,,Noord-Oost,52.38606915680533,4.957696521637744,Entire home/apt,150,6,1,2016-04-30,0.45,1,346
6850043,gerenoveerd woonschip-tjalk (1908),24350341,Harold,,Noord-Oost,52.38177509748901,4.965553700830293,Entire home/apt,99,3,5,2016-05-01,0.40,1,117
11859831,SpazioArte Amsterdam,63215612,Ed,,Noord-Oost,52.39553330590017,4.9410197683784265,Private room,60,1,4,2016-05-17,1.20,1,0
9959224,"room for 2 people, garage included",51175862,Elvira,,Noord-Oost,52.40407190905868,4.930830646338759,Private room,65,1,1,2016-01-01,0.16,1,92
3150016,Cosy B&B in 'rural Amsterdam',15990489,Wendie,,Noord-Oost,52.421283245162996,5.002262410875266,Entire home/apt,80,2,7,2016-04-10,0.97,1,301
2353432,Lovely house +garden +free parking!,12018031,Marjolein & Ernst,,Noord-Oost,52.394770523573634,4.931712598174663,Entire home/apt,150,5,3,2016-01-02,0.13,1,198
13561575,Amsterdam Noord... the hip side of the city,66377477,Fabio,,Noord-Oost,52.40675793983627,4.929601186421234,Private room,69,3,0,,,2,23
8811789,"Farm 1840, 15 minutes from the centre of Amsterdam",46163296,Raoul,,Noord-Oost,52.39602573549029,4.995210182661925,Entire home/apt,208,2,0,,,1,63
6943965,Spacious family house,6604622,Charlotte,,Noord-Oost,52.389066074531605,4.954847611182758,Entire home/apt,140,7,3,2015-11-01,0.26,1,6
13268428,Spacious room only 15 min. to centre of Amsterdam,2527236,Janine,,Noord-Oost,52.395586294686176,4.955375193697261,Private room,55,2,2,2016-06-23,2,3,63
12251311,Nature & the city @ your fingertips,283269,Manon,,Noord-Oost,52.40697347400426,4.932381891936562,Entire home/apt,95,2,4,2016-06-19,2.11,1,200
8319109,"Modern, spacious house near centre",43683749,Imka,,Noord-Oost,52.38988386717861,4.95613818864362,Entire home/apt,300,1,0,,,1,89
13609091,Great house at Durgerdammerdijk + free parking,78762366,Steffi,,Noord-Oost,52.37918183032429,4.996370322936378,Entire home/apt,111,2,0,,,1,67
8751830,Clean room in Amsterdam,8887625,Robin,,Noord-Oost,52.39901619556302,4.929945259732891,Private room,65,2,13,2016-06-06,1.47,1,64
