id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13288857,Nice private self service studio room in Amsterdam,74966732,Cee,,Bijlmer-Oost,52.32216128044978,4.971087356917402,Private room,49,1,0,,,1,45
11684742,Studio in Amsterdam,24651625,Don,,Bijlmer-Oost,52.318924640399615,4.978956258058247,Entire home/apt,50,1,14,2016-05-30,5.53,1,257
11617912,Cozy appartement in Amsterdam,60767516,Nino,,Bijlmer-Oost,52.314077035377444,4.983944620866238,Entire home/apt,80,1,16,2016-05-27,5.33,1,285
12206912,Spacious apartment & beautiful view,19015200,Keston,,Bijlmer-Oost,52.31780455911641,4.979334761978678,Entire home/apt,99,2,9,2016-05-25,5.00,1,57
3719167,Big room in A´dam SE,18991270,Maria,,Bijlmer-Oost,52.316710723876675,4.986617637373466,Private room,40,3,11,2016-01-02,0.50,1,66
7303459,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32100583630295,4.961115220537148,Private room,40,1,0,,,2,0
13188367,Private room 15min metro ride from city center,73797940,Diana,,Bijlmer-Oost,52.32120440198549,4.976630069552119,Private room,35,1,0,,,1,9
13262666,Laid back maisonette with private garden,9015391,Elle,,Bijlmer-Oost,52.31946953204911,4.96476080398304,Entire home/apt,125,4,0,,,1,11
10860856,Nice room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31781329483963,4.98580325507547,Private room,50,3,15,2016-05-25,3.95,3,277
3651182,Beautiful complete apartment,17092248,Frank,,Bijlmer-Oost,52.32177089024753,4.980814206598688,Entire home/apt,100,2,38,2016-05-29,1.92,1,350
12333473,Modern Clean appartement,66564987,Ari,,Bijlmer-Oost,52.3178593955657,4.979526404699839,Entire home/apt,98,1,7,2016-05-30,4.38,1,313
4402514,"12,5m2 privet room in a nice flat",22670971,Ara,,Bijlmer-Oost,52.32075380860257,4.975741186930377,Private room,30,4,15,2016-05-26,0.79,1,222
9817243,Couch in living room,27280608,Petra,,Bijlmer-Oost,52.322131996253056,4.977425952077016,Shared room,38,1,5,2016-05-15,2.14,3,357
7046849,Lovely room in South East Amsterdam,36953379,Mark,,Bijlmer-Oost,52.32231416120611,4.9615935128732325,Private room,45,1,7,2015-09-09,0.62,1,110
10907707,Lovely room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31760099667676,4.985381723329465,Private room,45,2,19,2016-05-27,5.09,3,260
